Timestamp,Level,Restart_Quit
10/26/2022 22:40:23,level_three,Quit
10/26/2022 22:59:21,level_one,Restart
10/26/2022 22:59:21,level_one,Restart
10/26/2022 22:59:23,level_one,Quit
10/26/2022 22:59:27,level_two,Restart
10/26/2022 22:59:29,level_two,Quit
10/26/2022 22:59:52,level_one,Quit
10/26/2022 23:03:21,level_one,Quit
10/26/2022 23:04:34,level_two,Quit
10/26/2022 23:14:06,level_one,Restart
10/26/2022 23:14:37,level_one,Restart
10/26/2022 23:17:59,level_one,Quit
10/26/2022 23:18:17,level_two,Restart
10/26/2022 23:40:20,level_one,Quit
10/26/2022 23:41:26,level_two,Quit
10/26/2022 23:41:35,level_six,Quit
10/26/2022 23:41:54,level_five,Quit
10/26/2022 23:42:06,level_seven,Quit
10/26/2022 23:42:16,level_four,Quit
10/27/2022 0:06:40,level_one,Restart
10/27/2022 0:06:43,level_one,Restart
10/27/2022 0:06:50,level_one,Restart
10/27/2022 0:06:51,level_one,Quit
10/27/2022 0:07:00,level_one,Quit
10/27/2022 0:07:03,level_two,Restart
10/27/2022 0:07:04,level_two,Restart
10/27/2022 0:07:15,level_two,Restart
10/27/2022 0:07:16,level_two,Quit
10/27/2022 0:08:07,level_one,Quit
10/27/2022 0:14:04,level_one,Quit
10/27/2022 1:21:31,level_one,Quit
10/27/2022 1:22:20,level_two,Quit
